'date','seven_day_moving_avg_prcp'
'2013-12-20',0.10142857142857142349
'2013-12-21',0.074285714285714288251
'2013-12-22',0.074285714285714288251
'2013-12-23',0.074285714285714288251
'2013-12-24',0.074285714285714288251
'2013-12-25',0.072857142857142856429
'2013-12-26',0.2442857142857142727
'2013-12-27',0.17142857142857143015
'2013-12-28',0.17142857142857143015
'2013-12-29',0.17142857142857143015
'2013-12-30',0.21857142857142858316
'2013-12-31',0.26000000000000000888
'2014-01-01',0.26000000000000000888
'2014-01-02',0.10857142857142856873
'2014-01-03',0.16000000000000000333
'2014-01-04',0.16000000000000000333
'2014-01-05',0.16000000000000000333
'2014-01-06',0.1128571428571428642
'2014-01-07',0.087142857142857146901
'2014-01-08',0.15857142857142855763
'2014-01-09',0.14571428571428571285
'2014-01-10',0.094285714285714292137
'2014-01-11',0.1485714285714285765
'2014-01-12',0.1485714285714285765
'2014-01-13',0.1485714285714285765
'2014-01-14',0.13285714285714286808
'2014-01-15',0.071428571428571424606
'2014-01-16',0.064285714285714293247
'2014-01-17',0.064285714285714293247
'2014-01-18',0.075714285714285720074
'2014-01-19',0.07857142857142858372
'2014-01-20',0.07857142857142858372
'2014-01-21',0.07857142857142858372
'2014-01-22',0.074285714285714288251
'2014-01-23',0.074285714285714288251
'2014-01-24',0.074285714285714288251
'2014-01-25',0.0085714285714285718548
'2014-01-26',0.011428571428571428561
'2014-01-27',0.011428571428571428561
'2014-01-28',0.011428571428571428561
'2014-01-29',0.0057142857142857142807
'2014-01-30',0.0057142857142857142807
'2014-01-31',0.1728571428571428481
'2014-02-01',0.1728571428571428481
'2014-02-02',0.37142857142857138574
'2014-02-03',0.37142857142857138574
'2014-02-04',0.37142857142857138574
'2014-02-05',0.37142857142857138574
'2014-02-06',0.38571428571428567622
'2014-02-07',0.21857142857142858316
'2014-02-08',0.21857142857142858316
'2014-02-09',0.014285714285714287002
'2014-02-10',0.26857142857142857206
'2014-02-11',0.31142857142857144348
'2014-02-12',0.33000000000000001554
'2014-02-13',0.31571428571428572507
'2014-02-14',0.31571428571428572507
'2014-02-15',0.33857142857142857872
'2014-02-16',0.37571428571428572285
'2014-02-17',0.12571428571428572285
'2014-02-18',0.09571428571428572396
'2014-02-19',0.077142857142857151897
'2014-02-20',0.077142857142857151897
'2014-02-21',0.077142857142857151897
'2014-02-22',0.054285714285714284366
'2014-02-23',0.021428571428571428769
'2014-02-24',0.017142857142857143709
'2014-02-25',0.0042857142857142859274
'2014-02-26',0.0042857142857142859274
'2014-02-27',0.0042857142857142859274
'2014-02-28',0.010000000000000000208
'2014-03-01',0.010000000000000000208
'2014-03-02',0.0057142857142857142807
'2014-03-03',0.0057142857142857142807
'2014-03-04',0.0057142857142857142807
'2014-03-05',0.0057142857142857142807
'2014-03-06',0.0057142857142857142807
'2014-03-07',0.0
'2014-03-08',0.0
'2014-03-09',0.049999999999999995836
'2014-03-10',0.049999999999999995836
'2014-03-11',0.049999999999999995836
'2014-03-12',0.049999999999999995836
'2014-03-13',0.049999999999999995836
'2014-03-14',0.049999999999999995836
'2014-03-15',0.049999999999999995836
'2014-03-16',0.13142857142857142238
'2014-03-17',0.13142857142857142238
'2014-03-18',0.13142857142857142238
'2014-03-19',0.13142857142857142238
'2014-03-20',0.13142857142857142238
'2014-03-21',0.13142857142857142238
'2014-03-22',0.13142857142857142238
'2014-03-23',0.0
'2014-03-24',0.0
'2014-03-25',0.0057142857142857142807
'2014-03-26',0.26428571428571429047
'2014-03-27',0.31428571428571433488
'2014-03-28',0.33714285714285718853
'2014-03-29',0.33714285714285718853
'2014-03-30',0.33714285714285718853
'2014-03-31',0.3471428571428571419
'2014-04-01',0.37142857142857144125
'2014-04-02',0.1128571428571428642
'2014-04-03',0.062857142857142861425
'2014-04-04',0.11428571428571429602
'2014-04-05',0.16285714285714286697
'2014-04-06',0.16285714285714286697
'2014-04-07',0.15285714285714285809
'2014-04-08',0.12285714285714287308
'2014-04-09',0.12285714285714287308
'2014-04-10',0.12285714285714287308
'2014-04-11',0.048571428571428577891
'2014-04-12',0.10142857142857142349
'2014-04-13',0.10857142857142856873
'2014-04-14',0.10857142857142856873
'2014-04-15',0.10857142857142856873
'2014-04-16',0.10857142857142856873
'2014-04-17',0.10857142857142856873
'2014-04-18',0.10857142857142856873
'2014-04-19',0.0085714285714285718548
'2014-04-20',0.0014285714285714285701
'2014-04-21',0.0014285714285714285701
'2014-04-22',0.0042857142857142859274
'2014-04-23',0.13571428571428573173
'2014-04-24',0.13571428571428573173
'2014-04-25',0.13571428571428573173
'2014-04-26',0.13857142857142859537
'2014-04-27',0.84857142857142853209
'2014-04-28',0.86571428571428565845
'2014-04-29',0.86285714285714287807
'2014-04-30',0.74285714285714288251
'2014-05-01',0.74571428571428566289
'2014-05-02',0.74571428571428566289
'2014-05-03',0.74142857142857132579
'2014-05-04',0.031428571428571430712
'2014-05-05',0.072857142857142856429
'2014-05-06',0.07857142857142858372
'2014-05-07',0.11999999999999999555
'2014-05-08',0.12142857142857142738
